Title,Discription,Genre
さよならの朝に約束の花をかざろう,mafia be a member of a special race call the morph who can live for hundr of year howev mafia have alway felt lone despit be surround by her peopl as she be orphan from a young age she daydream about the outsid world but dare not travel from her home due to the warn of the clan chief one day the kingdom of mozart invad her homeland they alreadi have what be leav of the giant dragon the renata under their control and now their king wish to add the immort to hi bloodlin they ravag the morph homeland and kill most of it inhabit catch in the midst of the attack mafia be carri off by one of the renata it soon die and she be leav desert in a forest now truli alon save for the cri of a singl babi off in the distanc mafia find the babi in a destroy villag and decid to rais him as her own name him ariel although she know noth of the human world how to rais a child that age much faster than her,"Adventure, Animation, Drama, Family, Fantasy, Romance"
Steven Universe: The Movie,two year after bring peac to the galaxi steven univers see hi past come back to haunt him in the form of a derang gem who want to destroy the earth,"Action, Adventure, Animation, Comedy, Drama, Fantasy, Music, Science Fiction, TV Movie"
Witness for the Prosecution,when leonard vole be arrest for the sensat murder of a rich middleag widow the famou sir wilfrid robert agre to appear on hi behalf sir wilfrid recov from a nearfat heart attack be suppos to be on a diet of bland civil suit — but the lure of the crimin court be too much for him especi when the case be so difficult,"Crime, Drama, Mystery"
Persona,a young nurs alma be put in charg of elisabeth roller an actress who be seemingli healthi in all respect but will not talk as they spend time togeth alma speak to elisabeth constantli never receiv ani answer the time they spend togeth onli strengthen the crush realiz that one do not exist,Drama
The Shining,jack torranc accept a caretak job at the overlook hotel where he along with hi wife wendi and their son danni must live isol from the rest of the world for the winter but they be nt prepar for the mad that lurk within,"Horror, Thriller"
Coco,despit hi famili 's baffl generationsold ban on music miguel dream of becom an accomplish musician like hi idol ernesto de la cruz desper to prove hi talent miguel find himself in the stun and color land of the dead follow a mysteri chain of event along the way he meet charm trickster hector and togeth they set off on an extraordinari journey to unlock the real stori behind miguel famili histori,"Adventure, Animation, Comedy, Family, Fantasy, Music"
The Apartment,bud baxter be a minor clerk in a huge new york insur compani until he discov a quick way to climb the corpor ladder he lend out hi apart to the execut as a place to take their mistress although he often have to deal with the aftermath of their visit one night he s leav with a major problem to solv,"Comedy, Drama, Romance"
Hamilton,present the tale of american found father alexand hamilton thi film version of the origin broadway smash hit be the stori of america then tell by america now,"Drama, History"
Inglourious Basterds,in nazioccupi franc dure world war ii a group of jewishamerican soldier know as the bastard be choos specif to spread fear throughout the third reich by scalp and brutal kill nazi the bastard lead by it aldo rais soon cross path with a frenchjewish teenag girl who run a movi theater in pari which be target by the soldier,"Drama, Thriller, War"
A Clockwork Orange,in a nearfutur britain young alexand larg and hi pal get their kick beat and rap anyon they pleas when not destroy the live of other alex swoon to the music of beethoven the state eager to crack down on juvenil crime give an incarcer alex the option to undergo an invas procedur that 'll rob him of all person agenc in a time when conscienc be a commod can alex chang hi tune,"Crime, Science Fiction"
Saving Private Ryan,as us troop storm the beach of normandi three brother lie dead on the battlefield with a fourth trap behind enemi line ranger captain john miller and seven men be task with penetr germanheld territori and bring the boy home,"Drama, History, War"
Gladiator,in the year 180 the death of emperor marcu aureliu throw the roman empir into chao maximu be one of the roman armi most capabl and trust gener and a key advisor to the emperor as marcu deviou son commodu ascend to the throne maximu be set to be execut he escap but be captur by slave trader renam spaniard and forc to becom a gladiat maximu must battl to the death with other men for the amus of pay audienc,"Action, Adventure, Drama"
Ladri di biciclette,unemploy antonio be elat when he final find work hang poster around cartoon rome howev on hi first day hi bicycl — essenti to hi work — get steal hi job be doom unless he can find the thief with the help of hi son antonio comb the citi becom desper for justic,Drama
The Matrix,set in the and centuri the matrix tell the stori of a comput hacker who join a group of underground insurg fight the vast and power comput who now rule the earth,"Action, Science Fiction"
The Art of Racing in the Rain,a famili dog i with a nearhuman soul and a philosoph mind i evalu hi life through the lesson learn by hi human owner a racecar driver,"Drama, Romance"
The Prestige,a mysteri stori of two magician whose intens rivalri lead them on a lifelong battl for supremaci full of obsess deceit and jealousi with danger and deadli consequ,"Drama, Mystery, Science Fiction"
Star Wars,princess leia be captur and hold hostag by the evil imperi forc in their effort to take over the galact empir adventuresom luke skywalk and dash captain han solo team togeth with the loveabl robot duo red and capo to rescu the beauti princess and restor peac and justic in the empir,"Action, Adventure, Science Fiction"
劇場版 呪術廻戦 0,outa okkotsu be a nervou high school student who be suffer from a seriou problem — hi childhood friend rita have turn into a curs and wo nt leav him alon sinc rita be no ordinari curs hi plight be notic by stori goo a teacher at jujitsu high a school where fledgl exorcist learn how to combat curs goo convinc outa to enrol but can he learn enough in time to confront the curs that haunt him,"Action, Animation, Fantasy"
The Help,aileen clark be a middleag africanamerican maid who have spend her life rais white children and have recent lose her onli son manni jackson be an africanamerican maid who have often offend her employ despit her famili struggl with money and her desper need for job and eugen skeeter plan be a young white woman who have recent move back home after graduat colleg to find out her childhood maid have mysteri disappear these three stori intertwin to explain how life in jackson mississippi revolv around the help yet they be alway keep at a certain distanc becaus of racial line,Drama
ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,isabella the daughter of the nobl york famili be enrol in an allgirl academi to be groom into a dame worthi of nobil howev she have give up on her futur see the prestigi school as noth more than a prison from the outsid world her famili notic her struggl in her lesson and decid to hire violet evergreen to person tutor her under the guis of a handmaiden at first isabella treat violet coldli violet seem to be abl to do everyth perfectli lead isabella to assum that she be bear with a silver spoon after some time isabella begin to realiz that violet have have her own struggl and start to open up to her isabella soon reveal that she have lose contact with her belov younger sister whom she yearn to see again have experi the power of word through her past clientel violet ask if isabella wish to write a letter to taylor will violet be abl to help isabella convey her feel to her longest sister,"Animation, Drama, Fantasy"
Shutter Island,world war ii soldierturnedu marshal teddi daniel investig the disappear of a patient from a hospit for the crimin insan but hi effort be compromis by troubl vision and a mysteri doctor,"Drama, Mystery, Thriller"
